Neighborhood,group_sic_code_name_ext,group_sic_code,count
Andersonville,Wines Retail,592103.0,3
Archer Heights,(All) Auto Dealers,551102.0,3
Archer Heights,(All) Dentists,802101.0,8
Archer Heights,(All) Doctors,801101.0,6
Archer Heights,(All) Insurance,641112.0,12
Archer Heights,(All) Restaurants,581208.0,22
Archer Heights,Advertising Marketing,731115.0,5
Archer Heights,Auto Body Shops,753201.0,1
Archer Heights,Auto Rental,751401.0,1
Archer Heights,Bakers Cake & Pie,546103.0,5
Archer Heights,Banks,602101.0,5
Archer Heights,Banquet Rooms,581223.0,2
Archer Heights,Barbers,724101.0,2
Archer Heights,Bars,581301.0,6
Archer Heights,Beauty Salons-Equipment &  Supplies (Wholesale),508702.0,9
Archer Heights,Business Services NEC,738999.0,3
Archer Heights,Butchering (Wholesale),514701.0,1
Archer Heights,Cafes,581214.0,2
Archer Heights,Car Service,411904.0,15
Archer Heights,Car Washes,754201.0,2
Archer Heights,Cell Phones,599902.0,7
Archer Heights,Church Organizations,866104.0,3
Archer Heights,Clothing Retail,565101.0,4
Archer Heights,Cocktail Lounges,581303.0,3
Archer Heights,Coffee Shops,581228.0,1
Archer Heights,Computer Parts & Supplies,573402.0,4
Archer Heights,Construction Building Contractors,152130.0,11
Archer Heights,Construction Materials NEC (Wholesale),503999.0,15
Archer Heights,Convenience Stores,541103.0,1
Archer Heights,Copiers,504403.0,4
Archer Heights,Curtains Shower & Bath Wholesale,502332.0,4
Archer Heights,Dance Clubs,869921.0,2
Archer Heights,Day Care,835101.0,1
Archer Heights,Delicatessens,581209.0,2
Archer Heights,Delivery Service,421205.0,4
Archer Heights,Department Stores,531102.0,1
Archer Heights,Distribution Services,731908.0,1
Archer Heights,Driving Instruction,829902.0,1
Archer Heights,Dvd Sales & Service,573132.0,1
Archer Heights,Electric Equipment & Supplies Retail,521135.0,1
Archer Heights,Electronic Equipment & Supplies Retail,573117.0,2
Archer Heights,Federal Government General Offices,919901.0,1
Archer Heights,Financial Planners,628205.0,1
Archer Heights,Flooring,175203.0,2
Archer Heights,Florists,599201.0,1
Archer Heights,Food Markets,541101.0,5
Archer Heights,Food Specialties Retail,549910.0,1
Archer Heights,Funeral Homes,726103.0,1
Archer Heights,Furniture Stores,571216.0,3
Archer Heights,Gas Stations,554101.0,6
Archer Heights,Gift Shops,594712.0,2
Archer Heights,Glass Replacement Shops,753698.0,1
Archer Heights,Government Pension Health/Welfare Funds,637104.0,1
Archer Heights,Grocers Health Foods,541108.0,2
Archer Heights,Grocery Stores,541105.0,8
Archer Heights,Health Clubs & Gyms,799101.0,2
Archer Heights,Hobby & Model Shops,594508.0,3
Archer Heights,Home Centers,521138.0,3
Archer Heights,Hospitals,806202.0,1
Archer Heights,Hotels & Motels,701101.0,2
Archer Heights,House Cleaning,734922.0,1
Archer Heights,Ice Cream Parlors,581203.0,1
Archer Heights,Investments,621111.0,2
Archer Heights,Jewelers,594409.0,1
Archer Heights,Laboratories Agricultural,873122.0,2
Archer Heights,Laundry & Garment Services NEC,721999.0,1
Archer Heights,Legal Services,811198.0,3
Archer Heights,Libraries,823106.0,1
Archer Heights,Lighting Stores,571926.0,3
Archer Heights,Manicurists,723102.0,2
Archer Heights,Manufacturers,399903.0,4
Archer Heights,Misc Equipment Rental & Leasing,735999.0,2
Archer Heights,Miscellaneous Food Stores,549999.0,3
